Name,Locus,Genome,Contig,Start,Stop,Protein_ID,Coding_Strand,Proteome_ID,Proteome_Product,Proteome_Gene_Name,Proteome_Species,Proteome_BSR,Name
CBO_0025,GCA-001273255.1-protein347,GCA_001273255.1,LGIK01000012.1,379163,379939,347,1,tr|A5I352|A5I352_CLOBH,Membrane protein,CBO1927,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0025
CBO_0026,GCA-001273255.1-protein2771,GCA_001273255.1,LGIK01000005.1,88973,90169,2771,1,tr|A5I5W9|A5I5W9_CLOBH,Aspartate/ornithine carbamoyltransferase,CBO2885,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0026
CBO_0027,GCA-001273255.1-protein2231,GCA_001273255.1,LGIK01000043.1,113112,113798,2231,1,tr|A5I7B5|A5I7B5_CLOBH,Cell division ATP-binding protein FtsE,ftsE,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0027
CBO_0028,GCA-001273255.1-protein2182,GCA_001273255.1,LGIK01000043.1,64235,66244,2182,-1,tr|A5I7G4|A5I7G4_CLOBH,HTH-type transcriptional regulatory protein TyrR,CBO3439,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0028
CBO_0029,GCA-001273255.1-protein3321,GCA_001273255.1,LGIK01000054.1,123360,124382,3321,1,tr|A5HY64|A5HY64_CLOBH,Competence protein ComF,CBO0170,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0029
CBO_0030,GCA-001273255.1-protein2018,GCA_001273255.1,LGIK01000035.1,6345,8405,2018,1,tr|A5I5P7|A5I5P7_CLOBH,Methyl-accepting chemotaxis protein,CBO2811,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0030
CBO_0031,GCA-001273255.1-protein859,GCA_001273255.1,LGIK01000019.1,231344,231832,859,1,tr|A5HZI7|A5HZI7_CLOBH,Rubrerythrin diiron-binding domain-containing protein,CBO0644,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0031
CBO_0032,GCA-001273255.1-protein2967,GCA_001273255.1,LGIK01000051.1,60393,61400,2967,1,tr|A5I1K1|A5I1K1_CLOBH,"ABC transporter, substrate-binding lipoprotein",CBO1368,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0032
CBO_0033,GCA-016990285.1-protein305,GCA_016990285.1,NQVS01000001.1,343992,344909,305,-1,tr|A5HZR7|A5HZR7_CLOBH,Cysteine synthase,cysK,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.96,CBO_0033
CBO_0034,GCA-001273255.1-protein1148,GCA_001273255.1,LGIK01000021.1,29406,30215,1148,1,sp|A5I4L9|RNH2_CLOBH,Ribonuclease HII,rnhB,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0034
CBO_0035,GCA-001273255.1-protein342,GCA_001273255.1,LGIK01000012.1,371790,372233,342,-1,tr|A5I357|A5I357_CLOBH,MarR-family transcriptional regulator,CBO1932,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0035
CBO_0036,GCA-001273255.1-protein2331,GCA_001273255.1,LGIK01000043.1,251238,252371,2331,1,tr|A5I713|A5I713_CLOBH,Acyl-CoA dehydrogenase,acdA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0036
CBO_0037,GCA-001273255.1-protein1538,GCA_001273255.1,LGIK01000025.1,173637,174173,1538,-1,tr|A5I554|A5I554_CLOBH,Peptide deformylase,def,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.88,CBO_0037
CBO_0038,GCA-001273255.1-protein3361,GCA_001273255.1,LGIK01000054.1,168433,169662,3361,-1,tr|A5HYA4|A5HYA4_CLOBH,Putative competence-damage inducible protein,cinA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0038
CBO_0039,GCA-001273255.1-protein1958,GCA_001273255.1,LGIK01000030.1,111039,114545,1958,1,tr|A5I7R4|A5I7R4_CLOBH,Transcription-repair-coupling factor,mfd,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0039
CBO_0040,GCA-001273255.1-protein1709,GCA_001273255.1,LGIK01000026.1,117993,119000,1709,-1,tr|A5I102|A5I102_CLOBH,"ABC transporter, substrate-binding lipoprotein",CBO1162,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0040
CBO_0041,GCA-001273255.1-protein2954,GCA_001273255.1,LGIK01000051.1,44786,46504,2954,1,tr|A5I1I8|A5I1I8_CLOBH,Methyl-accepting chemotaxis protein,CBO1354,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0041
CBO_0042,GCA-001573665.1-protein832,GCA_001573665.1,LFPF01000014.1,63764,64252,832,1,tr|A5I7W2|A5I7W2_CLOBH,dUTPase,CBO3588,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.97,CBO_0042
CBO_0043,GCA-001273255.1-protein1912,GCA_001273255.1,LGIK01000030.1,65144,66388,1912,-1,tr|A5I7W0|A5I7W0_CLOBH,Glycosyl transferase,CBO3586,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0043
CBO_0044,GCA-001273255.1-protein3379,GCA_001273255.1,LGIK01000054.1,189734,191263,3379,1,tr|A5HYC2|A5HYC2_CLOBH,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",gpmI,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0044
CBO_0045,GCA-001273255.1-protein270,GCA_001273255.1,LGIK01000012.1,284813,286117,270,1,sp|A5I3D3|Y2008_CLOBH,UPF0597 protein CBO2008/CLC_1955,CBO2008,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0045
CBO_0046,GCA-001273255.1-protein3431,GCA_001273255.1,LGIK01000054.1,250787,251548,3431,1,tr|A5HYH3|A5HYH3_CLOBH,Transcriptional regulator of phosphosugar synthesis,CBO0280,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0046
CBO_0047,GCA-001273255.1-protein932,GCA_001273255.1,LGIK01000019.1,315267,315893,932,-1,tr|A5HZS0|A5HZS0_CLOBH,Methyltransferase domain-containing protein,CBO0727,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0047
CBO_0048,GCA-001573255.1-protein3707,GCA_001573255.1,LFON01000007.1,105681,106910,3707,-1,tr|A5I285|A5I285_CLOBH,Transporter,CBO1614,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.96,CBO_0048
CBO_0049,GCA-001273255.1-protein2372,GCA_001273255.1,LGIK01000044.1,17957,20338,2372,-1,tr|A5I6L0|A5I6L0_CLOBH,Phenylalanine--tRNA ligase beta subunit,pheT,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0049
CBO_0050,GCA-001273255.1-protein1118,GCA_001273255.1,LGIK01000020.1,11061,11954,1118,-1,tr|A5I6S2|A5I6S2_CLOBH,DUF2229 domain-containing protein,CBO3193,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0050
CBO_0051,GCA-001273255.1-protein2667,GCA_001273255.1,LGIK01000049.1,111159,111494,2667,-1,tr|A5I6H0|A5I6H0_CLOBH,Anti-sigma F factor antagonist,spoIIAA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0051
CBO_0052,GCA-001273255.1-protein568,GCA_001273255.1,LGIK01000017.1,53819,54283,568,1,tr|A5I0H1|A5I0H1_CLOBH,Acetyltransferase,CBO0980,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0052
CBO_0053,GCA-001273255.1-protein1979,GCA_001273255.1,LGIK01000030.1,136641,138032,1979,1,tr|A5I7P3|A5I7P3_CLOBH,Glycine--tRNA ligase,glyS,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0053
CBO_0054,GCA-001273255.1-protein136,GCA_001273255.1,LGIK01000012.1,134158,134442,136,1,tr|A5I3S3|A5I3S3_CLOBH,"PTS system, EIIB component",CBO2151,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0054
CBO_0055,GCA-001273255.1-protein2050,GCA_001273255.1,LGIK01000036.1,22898,23701,2050,1,tr|A5I1D8|A5I1D8_CLOBH,Lipid II flippase Amj,amj,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0055
CBO_0056,GCA-001273255.1-protein2001,GCA_001273255.1,LGIK01000034.1,10753,13341,2001,1,tr|A5HYN9|A5HYN9_CLOBH,Aldehyde-alcohol dehydrogenase,adhE,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0056
CBO_0057,GCA-001273255.1-protein3055,GCA_001273255.1,LGIK01000051.1,154577,155506,3055,1,sp|A5I1T3|RSMH_CLOBH,Ribosomal RNA small subunit methyltransferase H,rsmH,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0057
CBO_0058,GCA-001273255.1-protein3205,GCA_001273255.1,LGIK01000054.1,1648,2556,3205,-1,tr|A5HXU5|A5HXU5_CLOBH,Muramoyl-tetrapeptide carboxypeptidase,CBO0049,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.97,CBO_0058
CBO_0059,GCA-001273255.1-protein2571,GCA_001273255.1,LGIK01000049.1,25563,26348,2571,-1,tr|A5I674|A5I674_CLOBH,Cell wall endopeptidase,CBO2994,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0059
CBO_0060,GCA-001273255.1-protein545,GCA_001273255.1,LGIK01000017.1,29787,30476,545,1,tr|A5I0E8|A5I0E8_CLOBH,Crp-family transcriptional regulator,CBO0955,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0060
CBO_0061,GCA-001273255.1-protein2951,GCA_001273255.1,LGIK01000051.1,42060,43298,2951,1,tr|A5I1I5|A5I1I5_CLOBH,Exported protein,CBO1351,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0061
CBO_0062,GCA-001273255.1-protein2666,GCA_001273255.1,LGIK01000049.1,110720,111142,2666,-1,tr|A5I6G9|A5I6G9_CLOBH,Anti-sigma F factor,spoIIAB,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0062
CBO_0063,GCA-001273255.1-protein2021,GCA_001273255.1,LGIK01000035.1,10505,11422,2021,1,sp|A5I5P4|GLSA_CLOBH,Glutaminase,glsA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0063
CBO_0064,GCA-001273255.1-protein2789,GCA_001273255.1,LGIK01000005.1,116601,117806,2789,1,tr|A5I5V0|A5I5V0_CLOBH,Riboflavin biosynthesis protein RibBA,ribA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0064
CBO_0065,GCA-001273255.1-protein487,GCA_001273255.1,LGIK01000015.1,30061,31017,487,1,tr|A5I6V2|A5I6V2_CLOBH,WYL domain-containing protein,CBO3223,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0065
CBO_0066,GCA-001273255.1-protein1732,GCA_001273255.1,LGIK01000028.1,19009,21012,1732,-1,tr|A5I2P5|A5I2P5_CLOBH,Methyl-accepting chemotaxis protein,CBO1773,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0066
CBO_0067,GCA-001273255.1-protein844,GCA_001273255.1,LGIK01000019.1,215476,216027,844,-1,tr|A5HZG8|A5HZG8_CLOBH,DNA-binding protein,CBO0624,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.96,CBO_0067
CBO_0068,GCA-001273255.1-protein591,GCA_001273255.1,LGIK01000017.1,77851,79524,591,1,tr|A5I0J5|A5I0J5_CLOBH,Uncharacterized AAA domain-containing protein ycf46,CBO1003,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0068
CBO_0069,GCA-001273255.1-protein761,GCA_001273255.1,LGIK01000019.1,123117,123707,761,1,tr|A5HZ79|A5HZ79_CLOBH,PemK-family protein,CBO0535,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0069
CBO_0070,GCA-001273255.1-protein414,GCA_001273255.1,LGIK01000012.1,445452,445700,414,1,tr|A5I2Y5|A5I2Y5_CLOBH,Iron-only hydrogenase system regulator,CBO1862,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0070
CBO_0071,GCA-001273255.1-protein2711,GCA_001273255.1,LGIK01000005.1,20835,22922,2711,1,tr|A5I630|A5I630_CLOBH,Membrane-associated phosphohydrolase,CBO2950,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0071
CBO_0072,GCA-001273255.1-protein2012,GCA_001273255.1,LGIK01000034.1,22959,23633,2012,1,tr|A5HYQ0|A5HYQ0_CLOBH,TVP38/TMEM64 family membrane protein,CBO0356,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0072
CBO_0073,GCA-001573255.1-protein1965,GCA_001573255.1,LFON01000028.1,7758,8960,1965,-1,tr|A5I6S8|A5I6S8_CLOBH,Butyryl-CoA dehydrogenase,bcd,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.94,CBO_0073
CBO_0074,GCA-001273255.1-protein1325,GCA_001273255.1,LGIK01000023.1,18108,18686,1325,-1,tr|A5HYR6|A5HYR6_CLOBH,Ion-translocating oxidoreductase complex subunit A,rnfA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0074
CBO_0075,GCA-001273255.1-protein1895,GCA_001273255.1,LGIK01000030.1,50174,50398,1895,1,tr|A5I7X7|A5I7X7_CLOBH,Acyl carrier protein,acpP,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0075
CBO_0076,GCA-001574335.1-protein1037,GCA_001574335.1,LFQE01000016.1,68459,69163,1037,-1,tr|A5HYQ9|A5HYQ9_CLOBH,Stage 0 sporulation protein A homolog,CBO0365,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0076
CBO_0077,GCA-001273255.1-protein1636,GCA_001273255.1,LGIK01000026.1,37827,38582,1636,1,tr|A5I176|A5I176_CLOBH,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",CBO1238,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0077
CBO_0078,GCA-001573175.1-protein835,GCA_001573175.1,LFOK01000014.1,372970,373566,835,-1,tr|A5I5Y4|A5I5Y4_CLOBH,Exported protein,CBO2900,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0078
CBO_0079,GCA-001273255.1-protein1761,GCA_001273255.1,LGIK01000028.1,53397,54737,1761,-1,tr|A5I2D0|A5I2D0_CLOBH,Xanthine/uracil permease,CBO1662,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.96,CBO_0079
CBO_0080,GCA-001573385.1-protein1630,GCA_001573385.1,LFOT01000024.1,51566,51970,1630,1,tr|A5HZ99|A5HZ99_CLOBH,Large-conductance mechanosensitive channel,mscL,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.85,CBO_0080
CBO_0081,GCA-001273255.1-protein3355,GCA_001273255.1,LGIK01000054.1,162805,163719,3355,1,tr|A5HY98|A5HY98_CLOBH,Cysteine synthase,cysK1,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0081
CBO_0082,GCA-001273255.1-protein505,GCA_001273255.1,LGIK01000015.1,47937,49229,505,1,tr|A5I6T4|A5I6T4_CLOBH,Integral membrane transport protein,CBO3205,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0082
CBO_0083,GCA-001273255.1-protein680,GCA_001273255.1,LGIK01000019.1,31403,32305,680,1,sp|A5HYZ6|DDL_CLOBH,D-alanine--D-alanine ligase,ddl,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0083
CBO_0084,GCA-001273255.1-protein3325,GCA_001273255.1,LGIK01000054.1,129083,130060,3325,1,tr|A5HY68|A5HY68_CLOBH,Peptide chain release factor 2,prfB,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0084
CBO_0085,GCA-001573175.1-protein3349,GCA_001573175.1,LFOK01000007.1,301909,302652,3349,1,tr|A5I127|A5I127_CLOBH,Membrane protein,CBO1189,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.79,CBO_0085
CBO_0086,GCA-001273255.1-protein1559,GCA_001273255.1,LGIK01000025.1,195813,196541,1559,-1,tr|A5I575|A5I575_CLOBH,RNA polymerase sigma factor,sigD,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0086
CBO_0087,GCA-001273255.1-protein2885,GCA_001273255.1,LGIK01000050.1,45025,46353,2885,1,tr|A5I4T5|A5I4T5_CLOBH,16S rRNA (cytosine(967)-C(5))-methyltransferase,CBO2507,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0087
CBO_0088,GCA-001273255.1-protein2940,GCA_001273255.1,LGIK01000051.1,28888,29886,2940,1,tr|A5I1H3|A5I1H3_CLOBH,"Iron ABC transporter, permease protein",CBO1338,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0088
CBO_0089,GCA-001273255.1-protein2473,GCA_001273255.1,LGIK01000047.1,55133,55966,2473,1,tr|A5I5J0|A5I5J0_CLOBH,Aminotransferase,CBO2756,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0089
CBO_0090,GCA-001273255.1-protein676,GCA_001273255.1,LGIK01000019.1,27349,27966,676,-1,sp|A5HYZ3|THIE_CLOBH,Thiamine-phosphate synthase,thiE,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0090
CBO_0091,GCA-001273255.1-protein2278,GCA_001273255.1,LGIK01000043.1,173939,175915,2278,1,tr|A5I766|A5I766_CLOBH,ATP-dependent zinc metalloprotease FtsH,ftsH,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0091
CBO_0092,GCA-001273255.1-protein1427,GCA_001273255.1,LGIK01000025.1,61766,62179,1427,-1,sp|A5I4Z3|YQGF_CLOBH,Putative pre-16S rRNA nuclease,CBO2562,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0092
CBO_0093,GCA-001273255.1-protein326,GCA_001273255.1,LGIK01000012.1,355707,356351,326,1,tr|A5I374|A5I374_CLOBH,TVP38/TMEM64 family membrane protein,CBO1949,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0093
CBO_0094,GCA-001273255.1-protein2977,GCA_001273255.1,LGIK01000051.1,70336,70989,2977,1,tr|A5I1L1|A5I1L1_CLOBH,Stage 0 sporulation protein A homolog,CBO1380,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0094
CBO_0095,GCA-001273255.1-protein2754,GCA_001273255.1,LGIK01000005.1,72046,73488,2754,1,tr|A5I5Y5|A5I5Y5_CLOBH,Purine transporter,CBO2901,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0095
CBO_0096,GCA-001273255.1-protein2763,GCA_001273255.1,LGIK01000005.1,79152,79961,2763,-1,tr|A5I5X7|A5I5X7_CLOBH,Xanthine dehydrogenase accessory protein,CBO2893,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0096
